epoch,train_loss,val_loss,val_accuracy
1,0.2751983481846177,0.30335370559409364,0.8638105083921187
2,0.27536805049774754,0.3055049940867599,0.861894916078813
3,0.2752788790904581,0.3050522299193895,0.8617124787156409
4,0.2753329741250437,0.3060466629169597,0.8617884942836292
5,0.2751650910277852,0.3013617883007534,0.8634608367793725
6,0.27530010111655395,0.30260729965169597,0.864251398686451
7,0.27529421565483636,0.3043139903062859,0.8620165409875943
8,0.27498642107035093,0.30477244739142745,0.860800291899781
9,0.27516432426886844,0.2988245789296028,0.8653156166382875
10,0.2754266091968629,0.302259278620748,0.8631719776210168
11,0.27532018252720164,0.30651319126988874,0.8630351495986378
12,0.2753157080663158,0.30301660197809416,0.8628679153490635
13,0.27514245852112584,0.30269419086353533,0.8637192897105327
14,0.2750614121013081,0.3064249026763761,0.8623206032595475
